Batch,M,N,K,PrecisionM,PrecisionA,Tensorcore,Iterations
8,128,128,1024,bf16,bf16,True,500000
8,64,1024,1024,bf16,bf16,True,500000
16,2048,256,2048,bf16,bf16,True,19768
64,256,128,1024,bf16,bf16,True,151266
256,2048,1,2048,bf16,bf16,True,298079
16,128,64,256,bf16,bf16,True,500000
128,128,64,128,bf16,bf16,True,500000
64,1024,128,1024,bf16,bf16,True,38955
32,2048,2048,32,bf16,bf16,True,76763
128,64,128,128,bf16,bf16,True,500000
128,16,16,512,bf16,bf16,True,500000
64,512,128,2048,bf16,bf16,True,38955
8,32,32,4096,bf16,bf16,True,500000
32,16,512,256,bf16,bf16,True,500000
128,128,2048,128,bf16,bf16,True,76763
16,64,1024,32,bf16,bf16,True,500000
64,512,4,32768,bf16,bf16,True,76763
16,32,8,1024,bf16,bf16,True,1000000
4,512,1,512,bf16,bf16,True,1000000
16,4,8,128,bf16,bf16,True,1000000
256,128,4,128,bf16,bf16,True,500000
16,64,256,256,bf16,bf16,True,500000
128,1,16384,128,bf16,bf16,True,500000
32,4,64,256,bf16,bf16,True,1000000
1,4,32768,128,bf16,bf16,True,500000
256,64,2048,512,bf16,bf16,True,19768
4,8192,4,2048,bf16,bf16,True,500000
16,16,1024,32,bf16,bf16,True,1000000
8,256,256,64,bf16,bf16,True,500000
64,32,64,512,bf16,bf16,True,500000
8,32,128,512,bf16,bf16,True,500000
16,32,64,4096,bf16,bf16,True,500000
16,32,1024,1024,bf16,bf16,True,500000
8,32,1024,1024,bf16,bf16,True,500000
1,512,256,512,bf16,bf16,True,500000
16,2048,16,128,bf16,bf16,True,500000
32,4,128,128,bf16,bf16,True,1000000
1,512,2048,256,bf16,bf16,True,500000
128,32,512,16,bf16,bf16,True,500000
8,16,1024,1,bf16,bf16,True,1000000
8,16,16,128,bf16,bf16,True,1000000
16,128,512,256,bf16,bf16,True,500000
128,16,8,128,bf16,bf16,True,1000000
64,512,512,256,bf16,bf16,True,76763
1,256,1024,128,bf16,bf16,True,500000
256,16,512,128,bf16,bf16,True,500000
128,32,128,128,bf16,bf16,True,500000
64,128,4,128,bf16,bf16,True,1000000
32,4,4,128,bf16,bf16,True,1000000
64,64,128,128,bf16,bf16,True,500000
1,128,512,128,bf16,bf16,True,1000000
16,512,1024,512,bf16,bf16,True,76763
16,512,2048,256,bf16,bf16,True,76763
128,128,16,512,bf16,bf16,True,500000
16,8,32,128,bf16,bf16,True,1000000
8,4,512,8,bf16,bf16,True,1000000
256,128,4,8192,bf16,bf16,True,298079
8,8,512,128,bf16,bf16,True,1000000
16,4,512,128,bf16,bf16,True,1000000
32,32,1024,256,bf16,bf16,True,500000
1,1,256,128,bf16,bf16,True,1000000
256,1,128,128,bf16,bf16,True,1000000
16,64,8,1024,bf16,bf16,True,1000000
64,512,256,2048,bf16,bf16,True,19768
64,128,8,1024,bf16,bf16,True,500000
8,128,4,256,bf16,bf16,True,1000000
32,8,32,1024,bf16,bf16,True,1000000
32,512,512,512,bf16,bf16,True,76763
128,16,8,1024,bf16,bf16,True,500000
32,8,1024,512,bf16,bf16,True,500000
16,4,4,1024,bf16,bf16,True,1000000
32,16,1024,128,bf16,bf16,True,500000
32,512,128,128,bf16,bf16,True,500000
8,4,16,512,bf16,bf16,True,1000000
16,32,1024,16,bf16,bf16,True,1000000
128,256,1024,2048,bf16,bf16,True,5091
64,1024,1024,64,bf16,bf16,True,76763
64,16,128,64,bf16,bf16,True,1000000
128,32,256,32,bf16,bf16,True,500000
64,4,512,128,bf16,bf16,True,500000
128,64,1024,64,bf16,bf16,True,500000
128,256,256,512,bf16,bf16,True,76763
16,128,256,4,bf16,bf16,True,1000000
64,8,1024,1024,bf16,bf16,True,500000
128,4,16,1024,bf16,bf16,True,1000000
16,16,1024,4,bf16,bf16,True,1000000
32,64,256,8,bf16,bf16,True,1000000
64,16,4,128,bf16,bf16,True,1000000
8,64,256,128,bf16,bf16,True,500000
4,8192,1,512,bf16,bf16,True,500000
64,2048,16,128,bf16,bf16,True,500000
64,8,4,512,bf16,bf16,True,1000000
32,64,1024,256,bf16,bf16,True,500000
64,64,32,128,bf16,bf16,True,500000
16,256,128,128,bf16,bf16,True,500000
1,1024,512,128,bf16,bf16,True,500000
128,32,32,128,bf16,bf16,True,500000
128,512,512,16,bf16,bf16,True,500000
32,4,1024,4,bf16,bf16,True,1000000
16,2048,128,1024,bf16,bf16,True,76763
16,64,128,2048,bf16,bf16,True,500000
32,2048,2048,128,bf16,bf16,True,19768
4,1,8192,2048,bf16,bf16,True,500000
64,32,4,256,bf16,bf16,True,1000000
4,8192,4,8192,bf16,bf16,True,298079
8,16,4,256,bf16,bf16,True,1000000
64,64,256,256,bf16,bf16,True,500000
1,1024,128,128,bf16,bf16,True,500000
16,1024,512,128,bf16,bf16,True,298079
128,128,65536,1,bf16,bf16,True,298079
128,1024,512,256,bf16,bf16,True,19768
64,32,256,512,bf16,bf16,True,500000
128,2048,2048,1024,bf16,bf16,True,665
1,32768,64,128,bf16,bf16,True,500000
16,64,64,1024,bf16,bf16,True,500000
16,512,4,8192,bf16,bf16,True,500000
64,128,128,8,bf16,bf16,True,1000000
4,16,128,128,bf16,bf16,True,1000000
32,2048,128,256,bf16,bf16,True,151266
8,256,1024,1024,bf16,bf16,True,151266
256,4,128,512,bf16,bf16,True,500000
128,32,128,1024,bf16,bf16,True,500000
16,32,128,64,bf16,bf16,True,1000000
8,4,1024,512,bf16,bf16,True,500000
1,16,1024,1,bf16,bf16,True,1000000
16,128,512,1024,bf16,bf16,True,298079
128,1024,128,512,bf16,bf16,True,38955
32,512,256,2048,bf16,bf16,True,38955
128,4,128,8,bf16,bf16,True,1000000
1,2048,1,128,bf16,bf16,True,1000000
32,128,1024,4,bf16,bf16,True,500000
32,16,1,128,bf16,bf16,True,1000000
32,512,2048,256,bf16,bf16,True,38955
128,2048,128,1024,bf16,bf16,True,10032
4,512,4,512,bf16,bf16,True,1000000
128,64,32,128,bf16,bf16,True,500000
32,32,64,4096,bf16,bf16,True,500000
8,512,512,1024,bf16,bf16,True,151266
64,8,1024,4,bf16,bf16,True,1000000
256,32768,1,128,bf16,bf16,True,298079
32,16,128,1024,bf16,bf16,True,500000
16,8,256,1024,bf16,bf16,True,500000
1,256,2048,512,bf16,bf16,True,500000
64,16,256,64,bf16,bf16,True,500000
64,64,64,256,bf16,bf16,True,500000
16,64,256,8,bf16,bf16,True,1000000
32,2048,1024,2048,bf16,bf16,True,2583
128,16,128,16,bf16,bf16,True,1000000
128,512,512,256,bf16,bf16,True,38955
32,2048,512,2048,bf16,bf16,True,5091
8,8,128,128,bf16,bf16,True,1000000
128,32,512,4,bf16,bf16,True,1000000
128,512,1024,2048,bf16,bf16,True,2583
1,1,16384,128,bf16,bf16,True,1000000
32,2048,512,256,bf16,bf16,True,38955
256,1,8192,128,bf16,bf16,True,500000
128,4,128,128,bf16,bf16,True,1000000
16,4,1024,4,bf16,bf16,True,1000000
1,2048,4,8192,bf16,bf16,True,500000
16,1024,256,128,bf16,bf16,True,500000
128,16,65536,1,bf16,bf16,True,500000
16,2048,4,128,bf16,bf16,True,500000
16,16,128,32768,bf16,bf16,True,298079
16,128,128,256,bf16,bf16,True,500000
256,16,128,128,bf16,bf16,True,500000
128,128,4,1024,bf16,bf16,True,500000
128,1024,512,2048,bf16,bf16,True,2583
16,32,4096,128,bf16,bf16,True,500000
8,4,256,32,bf16,bf16,True,1000000
16,64,512,32768,bf16,bf16,True,19768
8,8,256,8,bf16,bf16,True,1000000
256,128,64,8192,bf16,bf16,True,19768
32,1024,1024,64,bf16,bf16,True,151266
4,128,64,2048,bf16,bf16,True,500000
32,128,65536,1,bf16,bf16,True,500000
16,2048,4,8192,bf16,bf16,True,298079
16,1024,1024,64,bf16,bf16,True,298079
16,128,2048,2048,bf16,bf16,True,38955
16,4,128,16,bf16,bf16,True,1000000
64,4,128,8,bf16,bf16,True,1000000
32,4,1024,256,bf16,bf16,True,500000
256,512,4,8192,bf16,bf16,True,76763
128,128,1024,128,bf16,bf16,True,151266
8,64,512,128,bf16,bf16,True,500000
16,4,16,512,bf16,bf16,True,1000000
16,2048,1,512,bf16,bf16,True,500000
8,8,1024,128,bf16,bf16,True,1000000
16,8,8,256,bf16,bf16,True,1000000
16,4,128,8,bf16,bf16,True,1000000
128,256,128,512,bf16,bf16,True,151266
8,8,128,8,bf16,bf16,True,1000000
8,4,128,128,bf16,bf16,True,1000000
1,512,1024,256,bf16,bf16,True,500000
1,1024,256,1024,bf16,bf16,True,500000
64,64,512,8,bf16,bf16,True,500000
8,4,256,16,bf16,bf16,True,1000000
32,128,32,256,bf16,bf16,True,500000
64,128,1024,256,bf16,bf16,True,151266
1,8192,1,32768,bf16,bf16,True,500000
128,32,512,8,bf16,bf16,True,500000
8,256,1024,256,bf16,bf16,True,500000
128,2048,128,512,bf16,bf16,True,19768
32,8,512,16,bf16,bf16,True,1000000
128,32,64,4096,bf16,bf16,True,298079
32,32,128,128,bf16,bf16,True,500000
1,64,128,32768,bf16,bf16,True,500000
32,8,32,256,bf16,bf16,True,1000000
32,2048,1024,256,bf16,bf16,True,19768
64,32,512,512,bf16,bf16,True,500000
128,64,512,128,bf16,bf16,True,500000
32,128,16,512,bf16,bf16,True,500000
32,512,2048,1024,bf16,bf16,True,10032
64,4,32,512,bf16,bf16,True,1000000
16,32,1024,256,bf16,bf16,True,500000
32,2048,256,128,bf16,bf16,True,151266
64,4,256,1024,bf16,bf16,True,500000
8,8,1024,8,bf16,bf16,True,1000000
256,64,2048,2048,bf16,bf16,True,5091
32,32,32,1024,bf16,bf16,True,500000
64,32,1024,1024,bf16,bf16,True,151266
16,128,32,1024,bf16,bf16,True,500000
4,2048,64,2048,bf16,bf16,True,298079
8,128,512,1024,bf16,bf16,True,500000
32,16,512,64,bf16,bf16,True,500000
1,1024,2048,256,bf16,bf16,True,500000
1,32768,1,8192,bf16,bf16,True,500000
128,4,128,512,bf16,bf16,True,500000
128,128,16,1024,bf16,bf16,True,500000
16,32768,16,128,bf16,bf16,True,298079
8,64,8,256,bf16,bf16,True,1000000
8,4,8,128,bf16,bf16,True,1000000
8,128,128,4,bf16,bf16,True,1000000
128,4,1024,1,bf16,bf16,True,1000000
16,512,512,64,bf16,bf16,True,500000
128,64,512,8,bf16,bf16,True,500000
8,64,262144,1,bf16,bf16,True,500000
128,64,32,512,bf16,bf16,True,500000
16,128,4,1024,bf16,bf16,True,1000000
32,1024,1024,32,bf16,bf16,True,298079
8,1,64,128,bf16,bf16,True,1000000
32,128,16,128,bf16,bf16,True,1000000
1,1,2048,2048,bf16,bf16,True,1000000
16,1024,128,1024,bf16,bf16,True,151266
128,512,256,256,bf16,bf16,True,76763
8,128,128,128,bf16,bf16,True,500000
8,32,32,1024,bf16,bf16,True,1000000
1,1024,2048,128,bf16,bf16,True,500000
16,2048,512,1024,bf16,bf16,True,19768
32,1,4096,1,bf16,bf16,True,1000000
8,512,1024,256,bf16,bf16,True,298079
4,64,8192,32768,bf16,bf16,True,5091
1,128,2048,128,bf16,bf16,True,500000
64,8192,4,2048,bf16,bf16,True,76763
64,64,8,128,bf16,bf16,True,1000000
64,4,8,256,bf16,bf16,True,1000000
1,32768,16,8192,bf16,bf16,True,76763
8,8,128,512,bf16,bf16,True,1000000
16,4,256,16,bf16,bf16,True,1000000
8,128,128,32,bf16,bf16,True,1000000
8,32,128,4096,bf16,bf16,True,500000
1,64,32768,128,bf16,bf16,True,500000
64,128,16,32768,bf16,bf16,True,76763
64,128,128,256,bf16,bf16,True,500000
8,128,1024,8,bf16,bf16,True,1000000
64,4,32,128,bf16,bf16,True,1000000
32,128,16,256,bf16,bf16,True,500000
8,16,32,1024,bf16,bf16,True,1000000
32,8,32,128,bf16,bf16,True,1000000
1,1,128,128,bf16,bf16,True,1000000
32,16,4,256,bf16,bf16,True,1000000
64,8192,64,512,bf16,bf16,True,19768
256,4,128,8192,bf16,bf16,True,298079
1,2048,512,256,bf16,bf16,True,500000
16,32768,4,128,bf16,bf16,True,500000
64,512,1,2048,bf16,bf16,True,500000
32,32,1024,64,bf16,bf16,True,500000
32,64,256,64,bf16,bf16,True,500000
1,128,384,128,bf16,bf16,True,1000000
128,8,512,8,bf16,bf16,True,1000000
32,4,1024,1024,bf16,bf16,True,500000
32,1024,1024,256,bf16,bf16,True,38955
64,8,4,1024,bf16,bf16,True,1000000
16,8,1024,128,bf16,bf16,True,500000
8,4,32,256,bf16,bf16,True,1000000
16,512,128,1024,bf16,bf16,True,298079
64,128,64,1024,bf16,bf16,True,500000
64,64,32768,512,bf16,bf16,True,5091
32,8,128,512,bf16,bf16,True,500000
8,512,512,512,bf16,bf16,True,298079
8,1,256,128,bf16,bf16,True,1000000
16,4,64,1024,bf16,bf16,True,1000000
8,32,256,64,bf16,bf16,True,1000000
128,128,1024,1024,bf16,bf16,True,19768
32,2048,128,1024,bf16,bf16,True,38955
64,128,256,4,bf16,bf16,True,1000000
16,128,8,128,bf16,bf16,True,1000000
8,1,16,128,bf16,bf16,True,1000000
32,32,512,4,bf16,bf16,True,1000000
128,512,128,1024,bf16,bf16,True,38955
16,64,32,1024,bf16,bf16,True,500000
64,1024,2048,256,bf16,bf16,True,10032
16,256,256,1024,bf16,bf16,True,298079
64,256,512,1024,bf16,bf16,True,38955
64,32,256,1024,bf16,bf16,True,500000
16,512,16,2048,bf16,bf16,True,500000
16,16,64,256,bf16,bf16,True,1000000
8,2048,1024,128,bf16,bf16,True,151266
128,32,64,1024,bf16,bf16,True,500000
8,4,256,1024,bf16,bf16,True,1000000
16,1,8192,512,bf16,bf16,True,500000
4,64,128,512,bf16,bf16,True,500000
128,4,256,16,bf16,bf16,True,1000000
32,64,128,256,bf16,bf16,True,500000
8,2048,512,1024,bf16,bf16,True,38955
64,2048,256,1024,bf16,bf16,True,10032
32,1024,256,512,bf16,bf16,True,76763
128,128,512,64,bf16,bf16,True,500000
32,256,128,512,bf16,bf16,True,500000
32,32,256,64,bf16,bf16,True,500000
64,512,1,32768,bf16,bf16,True,298079
16,512,16,512,bf16,bf16,True,500000
4,16,128,8192,bf16,bf16,True,500000
32,16,8,512,bf16,bf16,True,1000000
1,128,16384,1,bf16,bf16,True,1000000
32,64,128,1024,bf16,bf16,True,500000
64,32,512,1024,bf16,bf16,True,298079
64,64,64,128,bf16,bf16,True,500000
128,1024,1024,128,bf16,bf16,True,19768
8,64,512,32,bf16,bf16,True,1000000
8,32,256,16,bf16,bf16,True,1000000
128,64,1024,4,bf16,bf16,True,500000
16,64,128,128,bf16,bf16,True,500000
1,512,512,256,bf16,bf16,True,500000
64,2048,1,2048,bf16,bf16,True,500000
64,64,1024,8,bf16,bf16,True,500000
8,32,4,256,bf16,bf16,True,1000000
8,256,256,32,bf16,bf16,True,500000
128,64,256,8,bf16,bf16,True,500000
16,2048,4,32768,bf16,bf16,True,76763
128,32,1024,8,bf16,bf16,True,500000
1,256,2048,1024,bf16,bf16,True,500000
32,16,16384,128,bf16,bf16,True,298079
32,512,256,512,bf16,bf16,True,151266
64,256,128,256,bf16,bf16,True,500000
8,256,512,256,bf16,bf16,True,500000
16,32,32,1024,bf16,bf16,True,500000
32,32,256,256,bf16,bf16,True,500000
8,1,16384,128,bf16,bf16,True,500000
64,64,256,16,bf16,bf16,True,500000
16,16,8192,8192,bf16,bf16,True,19768
8,32,256,512,bf16,bf16,True,500000
4,64,128,128,bf16,bf16,True,1000000
32,64,128,32,bf16,bf16,True,1000000
32,64,512,128,bf16,bf16,True,500000
32,8,1024,32,bf16,bf16,True,1000000
64,4,512,2048,bf16,bf16,True,500000
64,64,8192,128,bf16,bf16,True,76763
8,256,128,128,bf16,bf16,True,500000
128,128,4,512,bf16,bf16,True,500000
128,16,16,128,bf16,bf16,True,1000000
32,1024,128,256,bf16,bf16,True,298079
128,128,32,256,bf16,bf16,True,500000
256,4,32768,128,bf16,bf16,True,76763
64,4,1024,256,bf16,bf16,True,500000
64,32,64,128,bf16,bf16,True,500000
1,128,768,256,bf16,bf16,True,500000
1,1024,128,256,bf16,bf16,True,500000
8,32,512,32,bf16,bf16,True,1000000
32,16,4,1024,bf16,bf16,True,1000000
64,32,256,4,bf16,bf16,True,1000000
16,64,4,256,bf16,bf16,True,1000000
8,8,8,1024,bf16,bf16,True,1000000
32,64,1024,4,bf16,bf16,True,1000000
16,256,128,2048,bf16,bf16,True,298079
32,512,512,2048,bf16,bf16,True,19768
128,32,32,256,bf16,bf16,True,500000
64,128,64,256,bf16,bf16,True,500000
